region,value
afghanistan,106
albania,577
algeria,389
american samoa,5
andorra,26
angola,68
anguilla,3
antarctica,5
antigua & barbuda,13
argentina,29952
armenia,369
aruba,19
australia,56947
austria,17570
azerbaijan,440
the bahamas,67
bahrain,77
bangladesh,1699
barbados,24
belarus,353
belgium,16003
belize,16
benin,33
bermuda,22
bhutan,31
bolivia,345
bosnia and herzegovina,1159
botswana,12
brazil,60657
british virgin islands,8
brunei,12
bulgaria,14026
burkina faso,114
burundi,16
cambodia,183
cameroon,109
canada,98412
cape verde,11
cayman islands,29
central african republic,5
chad,13
chile,5849
china,11194
colombia,4112
comoros,5
republic of congo,88
democratic republic of the congo,37
cook islands,3
costa rica,402
ivory coast,42
croatia,6522
cuba,1311
curaçao,2
cyprus,452
czech republic,8795
denmark,33737
djibouti,1
dominica,14
dominican republic,1160
ecuador,624
egypt,2293
el salvador,71
equatorial guinea,5
eritrea,6
estonia,3483
eswatini,15
ethiopia,73
faroe islands,36
fiji,23
finland,47973
france,1823817
french guiana,3
french polynesia,17
gabon,15
gambia,8
georgia,712
germany,1803788
ghana,191
gibraltar,115
greece,47224
greenland,33
grenada,2
guadeloupe,42
guam,41
guatemala,149
guinea,12
guinea bissau,8
guyana,12
haiti,102
honduras,79
hong kong sar china,11402
hungary,37223
iceland,1256
india,1772350
indonesia,5671
iran,5527
iraq,206
ireland,8011
isle of man,15
israel,6646
italy,1774729
jamaica,339
japan,1822392
jersey,2
jordan,179
kazakhstan,338
kenya,284
kuwait,166
kyrgyzstan,82
laos,62
latvia,2460
lebanon,783
lesotho,11
liberia,13
libya,16
liechtenstein,533
lithuania,5720
luxembourg,513
macao sar china,47
madagascar,21
malawi,11
malaysia,1946
maldives,21
mali,28
malta,223
marshall islands,5
martinique,22
mauritania,13
mauritius,64
mexico,48031
micronesia (federated states of),1
moldova,127
monaco,46
mongolia,156
montenegro,109
morocco,540
mozambique,67
myanmar,93
namibia,40
nepal,510
netherlands,23259
new caledonia,9
new zealand,5783
nicaragua,55
niger,34
nigeria,2444
north korea,273
macedonia,390
northern mariana islands,2
norway,16152
oman,20
pakistan,1738
palestinian territories,134
panama,375
papua new guinea,17
paraguay,191
peru,3303
philippines,14854
poland,38215
portugal,1747232
puerto rico,823
qatar,219
réunion,10
romania,14995
russia,45284
rwanda,41
samoa,4
san marino,137
são tomé & príncipe,5
saudi arabia,295
senegal,107
republic of serbia,11197
seychelles,3
sierra leone,16
singapore,4503
slovakia,3645
slovenia,4870
solomon islands,1
somalia,11
south africa,4026
south korea,8614
spain,1787289
sri lanka,646
st. helena,1
st. kitts & nevis,1
st. lucia,5
st. vincent & grenadines,5
sudan,56
suriname,14
sweden,36673
switzerland,5830
syria,258
taiwan,11094
tajikistan,31
united republic of tanzania,67
thailand,1798
east timor,9
togo,29
tonga,4
trinidad and tobago,171
tunisia,620
turkey,23716
turkmenistan,25
turks & caicos islands,1
tuvalu,1
u.s. virgin islands,75
uganda,183
ukraine,10673
united arab emirates,3134
united kingdom,223801
united states of america,717758
uruguay,3886
uzbekistan,798
vanuatu,3
vatican city,6
venezuela,7292
vietnam,3589
western sahara,1
yemen,28
zambia,33
zimbabwe,65
